"asset_id","session_date","session_type","or_minutes","volume_first_m_min","ts"
"ES","2026-02-25","NY",7,42291,"2026-04-01T16:16:07.789674Z"
"ES","2026-02-26","NY",7,42225,"2026-04-01T16:16:07.800510Z"
"ES","2026-02-27","NY",7,44319,"2026-04-01T16:16:07.801559Z"
"ES","2026-03-02","NY",7,59120,"2026-04-01T16:16:07.802361Z"
"ES","2026-03-03","NY",7,59263,"2026-04-01T16:16:07.803088Z"
"ES","2026-03-04","NY",7,45065,"2026-04-01T16:16:07.803899Z"
"ES","2026-03-05","NY",7,43128,"2026-04-01T16:16:07.804782Z"
"ES","2026-03-06","NY",7,57189,"2026-04-01T16:16:07.805594Z"
"ES","2026-03-09","NY",7,43486,"2026-04-01T16:16:07.806317Z"
"ES","2026-03-10","NY",7,44754,"2026-04-01T16:16:07.807012Z"
"ES","2026-03-11","NY",7,31603,"2026-04-01T16:16:07.807724Z"
"ES","2026-03-12","NY",7,46379,"2026-04-01T16:16:07.808509Z"
"ES","2026-03-13","NY",7,41269,"2026-04-01T16:16:07.809322Z"
"ES","2026-03-16","NY",7,18015,"2026-04-01T16:16:07.810032Z"
"ES","2026-03-17","NY",7,7753,"2026-04-01T16:16:07.810827Z"
"ES","2026-03-18","NY",7,5240,"2026-04-01T16:16:07.811619Z"
"ES","2026-03-19","NY",7,4721,"2026-04-01T16:16:07.812359Z"
"ES","2026-03-20","NY",7,41275,"2026-04-01T16:16:07.812999Z"
"ES","2026-03-23","NY",7,35691,"2026-04-01T16:16:07.813612Z"
"ES","2026-03-24","NY",7,35240,"2026-04-01T16:16:07.814480Z"
"ES","2026-03-25","NY",7,36562,"2026-04-01T16:16:07.815251Z"
"ES","2026-03-26","NY",7,35662,"2026-04-01T16:16:07.816125Z"
"ES","2026-03-27","NY",7,43845,"2026-04-01T16:16:07.817058Z"
"ES","2026-03-30","NY",7,35522,"2026-04-01T16:16:07.817839Z"
"MES","2026-02-25","NY",7,42103,"2026-04-01T16:16:07.820799Z"
"MES","2026-02-26","NY",7,50620,"2026-04-01T16:16:07.821428Z"
"MES","2026-02-27","NY",7,53426,"2026-04-01T16:16:07.822135Z"
"MES","2026-03-02","NY",7,46501,"2026-04-01T16:16:07.822802Z"
"MES","2026-03-03","NY",7,43800,"2026-04-01T16:16:07.823647Z"
"MES","2026-03-04","NY",7,38668,"2026-04-01T16:16:07.824459Z"
"MES","2026-03-05","NY",7,41499,"2026-04-01T16:16:07.825608Z"
"MES","2026-03-06","NY",7,58656,"2026-04-01T16:16:07.826784Z"
"MES","2026-03-09","NY",7,34029,"2026-04-01T16:16:07.827790Z"
"MES","2026-03-10","NY",7,52812,"2026-04-01T16:16:07.828753Z"
"MES","2026-03-11","NY",7,38459,"2026-04-01T16:16:07.829488Z"
"MES","2026-03-12","NY",7,56519,"2026-04-01T16:16:07.830403Z"
"MES","2026-03-13","NY",7,39604,"2026-04-01T16:16:07.831371Z"
"MES","2026-03-16","NY",7,18286,"2026-04-01T16:16:07.832379Z"
"MES","2026-03-17","NY",7,8206,"2026-04-01T16:16:07.833160Z"
"MES","2026-03-18","NY",7,5819,"2026-04-01T16:16:07.833877Z"
"MES","2026-03-19","NY",7,4953,"2026-04-01T16:16:07.834966Z"
"MES","2026-03-20","NY",7,30593,"2026-04-01T16:16:07.835751Z"
"MES","2026-03-23","NY",7,35866,"2026-04-01T16:16:07.836474Z"
"MES","2026-03-24","NY",7,29914,"2026-04-01T16:16:07.837214Z"
"MES","2026-03-25","NY",7,27126,"2026-04-01T16:16:07.838168Z"
"MES","2026-03-26","NY",7,22489,"2026-04-01T16:16:07.838997Z"
"MES","2026-03-27","NY",7,26711,"2026-04-01T16:16:07.839896Z"
"MES","2026-03-30","NY",7,25548,"2026-04-01T16:16:07.840685Z"
"NQ","2026-02-25","NY",3,17505,"2026-04-01T16:16:07.844531Z"
"NQ","2026-02-26","NY",3,20800,"2026-04-01T16:16:07.845508Z"
"NQ","2026-02-27","NY",3,17562,"2026-04-01T16:16:07.846751Z"
"NQ","2026-03-02","NY",3,20860,"2026-04-01T16:16:07.848096Z"
"NQ","2026-03-03","NY",3,21150,"2026-04-01T16:16:07.848888Z"
"NQ","2026-03-04","NY",3,20057,"2026-04-01T16:16:07.849803Z"
"NQ","2026-03-05","NY",3,18085,"2026-04-01T16:16:07.850710Z"
"NQ","2026-03-06","NY",3,18619,"2026-04-01T16:16:07.851711Z"
"NQ","2026-03-09","NY",3,18025,"2026-04-01T16:16:07.854149Z"
"NQ","2026-03-10","NY",3,14970,"2026-04-01T16:16:07.855029Z"
"NQ","2026-03-11","NY",3,12322,"2026-04-01T16:16:07.856425Z"
"NQ","2026-03-12","NY",3,15608,"2026-04-01T16:16:07.857242Z"
"NQ","2026-03-13","NY",3,12672,"2026-04-01T16:16:07.858044Z"
"NQ","2026-03-16","NY",3,7754,"2026-04-01T16:16:07.858798Z"
"NQ","2026-03-17","NY",3,3853,"2026-04-01T16:16:07.859565Z"
"NQ","2026-03-18","NY",3,3508,"2026-04-01T16:16:07.860473Z"
"NQ","2026-03-19","NY",3,823,"2026-04-01T16:16:07.861441Z"
"NQ","2026-03-20","NY",3,15179,"2026-04-01T16:16:07.862239Z"
"NQ","2026-03-23","NY",3,13739,"2026-04-01T16:16:07.863130Z"
"NQ","2026-03-24","NY",3,13125,"2026-04-01T16:16:07.863924Z"
"NQ","2026-03-25","NY",3,10450,"2026-04-01T16:16:07.864713Z"
"NQ","2026-03-26","NY",3,12033,"2026-04-01T16:16:07.865904Z"
"NQ","2026-03-27","NY",3,14273,"2026-04-01T16:16:07.866983Z"
