date,atm_iv_30d,realized_vol_20d
2025-08-22,0.166,0.128953
2025-08-26,0.1479,0.129857
2025-08-27,0.1462,0.129469
2025-08-28,0.1485,0.125417
2025-08-29,0.1443,0.110504
2025-09-02,0.1612,0.093294
2025-09-03,0.1717,0.090392
2025-09-04,0.1635,0.094034
2025-09-05,0.153,0.091673
2025-09-09,0.1511,0.082177
2025-09-10,0.1504,0.081894
2025-09-11,0.1535,0.086658
2025-09-12,0.1471,0.085354
2025-09-16,0.1569,0.083313
2025-09-17,0.1636,0.081999
2025-09-18,0.1572,0.08045
2025-09-19,0.157,0.065343
2025-09-23,0.161,0.066665
2025-09-24,0.1664,0.06813
2025-09-25,0.1618,0.070341
2025-09-26,0.1674,0.066809
2025-09-30,0.1612,0.061845
2025-10-01,0.1628,0.062897
2025-10-02,0.1629,0.058468
2025-10-03,0.1663,0.055721
2025-10-07,0.1637,0.058894
2025-10-08,0.1724,0.060822
2025-10-09,0.163,0.057652
2025-10-10,0.1643,0.137545
2025-10-14,0.1903,0.156694
2025-10-15,0.2081,0.157334
2025-10-16,0.2064,0.159117
2025-10-17,0.2531,0.161261
2025-10-21,0.1823,0.163673
2025-10-22,0.1787,0.164483
2025-10-23,0.186,0.164281
2025-10-24,0.173,0.164973
2025-10-28,0.1579,0.170358
2025-10-29,0.1642,0.17015
2025-10-30,0.1692,0.170949
2025-10-31,0.1691,0.171526
2025-11-04,0.1717,0.175836
2025-11-05,0.19,0.175048
2025-11-06,0.1801,0.177817
2025-11-07,0.195,0.124328
2025-11-11,0.176,0.111383
2025-11-12,0.1728,0.110973
2025-11-13,0.1751,0.123091
2025-11-14,0.2,0.120303
2025-11-18,0.2238,0.124852
2025-11-19,0.2469,0.130032
2025-11-20,0.2366,0.148225
2025-11-21,0.2642,0.153179
2025-11-25,0.2052,0.157954
2025-11-26,0.1856,0.160693
2025-11-27,0.1719,0.160344
2025-11-28,0.1721,0.160867
2025-12-02,0.1724,0.156361
2025-12-03,0.1659,0.156384
2025-12-04,0.1608,0.152314
2025-12-05,0.1578,0.152353
2025-12-09,0.1666,0.144952
2025-12-10,0.1693,0.147095
2025-12-11,0.1577,0.134346
2025-12-12,0.1485,0.143875
2025-12-16,0.165,0.133685
2025-12-17,0.1648,0.133711
2025-12-18,0.1762,0.106386
2025-12-19,0.1687,0.10428
2025-12-23,0.1408,0.09156
2025-12-24,0.14,0.088892
2025-12-25,0.1347,0.088849
2025-12-30,0.142,0.086996
2025-12-31,0.1433,0.09056
2026-01-06,0.149,0.095394
2026-01-07,0.1475,0.09559
2026-01-08,0.1538,0.092614
2026-01-09,0.1545,0.092673
2026-01-13,0.1512,0.077939
2026-01-14,0.1598,0.078981
2026-01-15,0.1675,0.070746
2026-01-16,0.1584,0.069469
2026-01-20,0.1884,0.077434
2026-01-21,0.2009,0.087214
2026-01-22,0.169,0.087424
2026-01-23,0.1564,0.087447
2026-01-27,0.1615,0.091214
2026-01-28,0.1635,0.09094
2026-01-29,0.1635,0.087565
2026-01-30,0.1688,0.089175
2026-02-03,0.1634,0.092301
2026-02-04,0.18,0.091847
2026-02-05,0.1864,0.116153
2026-02-06,0.2177,0.143365
2026-02-10,0.1736,0.144854
2026-02-11,0.1779,0.143491
2026-02-12,0.1765,0.15192
2026-02-13,0.2082,0.152016
2026-02-17,0.212,0.143635
2026-02-18,0.2029,0.13843
2026-02-19,0.1962,0.13802
2026-02-20,0.2023,0.140959
2026-02-24,0.2101,0.143633
2026-02-25,0.1955,0.149426
2026-02-26,0.1793,0.1532
2026-02-27,0.1863,0.153216
2026-03-03,0.2144,0.152227
2026-03-04,0.2357,0.156601
2026-03-05,0.2115,0.140939
2026-03-06,0.2375,0.120087
2026-03-10,0.255,0.122438
2026-03-11,0.2493,0.122835
2026-03-12,0.2423,0.120042
2026-03-13,0.2729,0.123101
2026-03-17,0.2351,0.131698
2026-03-18,0.2237,0.140846
2026-03-19,0.2509,0.141187
2026-03-20,0.2406,0.141192
2026-03-24,0.2615,0.140354
2026-03-25,0.2695,0.131706
2026-03-26,0.2533,0.137406
2026-03-27,0.2744,0.15177
