date,open,high,low,close,volume
2025-02-25,3045.167585,3046.098734,3003.576263,3016.301966,29
2025-02-26,2995.289618,3022.070062,2990.345536,3019.495019,43157
2025-02-27,2989.315519,2991.272552,2965.419123,2974.380272,62633
2025-02-28,2944.200772,2956.045968,2929.677531,2953.16192,62381
2025-03-03,2971.290221,2993.847594,2961.402057,2991.478555,59809
2025-03-04,3015.580954,3019.495019,2998.276668,3016.404968,50106
2025-03-05,3002.087731,3029.486185,3000.027697,3017.228982,57209
2025-03-06,3004.250767,3019.804024,3003.632756,3007.237816,45217
2025-03-07,3012.078896,3026.911142,2997.143649,3005.280784,52972
2025-03-10,2994.671608,3005.177782,2970.981215,2979.942364,59586
2025-03-11,3004.250767,3017.228982,3003.735758,3010.636872,43066
2025-03-12,3004.250767,3037.417316,3002.705741,3031.855224,54838
2025-03-13,3042.773405,3091.493212,3042.361398,3091.493212,93790
2025-03-14,3097.467311,3097.879318,3078.411995,3083.253075,56174
2025-03-17,3084.592097,3101.278374,3083.150074,3100.45436,39416
2025-03-18,3135.577942,3138.976998,3122.18772,3133.002899,66806
2025-03-19,3133.62091,3153.191234,3124.762763,3148.968164,58921
2025-03-20,3129.603843,3145.981114,3128.882831,3144.333087,42005
2025-03-21,3127.543809,3127.749812,3094.171256,3119.303672,82547
2025-03-24,3119.406674,3122.599727,3097.982319,3108.076487,54043
2025-03-25,3118.994667,3133.517908,3113.638579,3116.934633,51578
2025-03-26,3121.775713,3122.805731,3108.797498,3117.34664,38724
2025-03-27,3142.788062,3163.491404,3132.281887,3161.740375,30836
2025-03-28,3175.233599,3228.279478,3164.521422,3183.061729,3088
2025-03-31,3210.048176,3226.01344,3207.988142,3225.086425,66
2025-04-01,3228.176476,3233.738568,3204.486084,3215.404264,43
2025-04-02,3238.06464,3264.948085,3229.515498,3245.480763,36
2025-04-03,3196.45195,3220.657351,3196.45195,3198.614986,15
2025-04-04,3151.852212,3151.852212,3100.351359,3113.844582,136
2025-04-07,3093.450244,3104.368425,3049.159511,3049.159511,18
2025-04-08,3072.6439,3072.6439,3059.150676,3059.150676,7
2025-04-09,3169.2595,3172.349551,3150.307186,3150.307186,4
2025-04-10,3169.2595,3172.349551,3150.307186,3150.307186,0
2025-04-11,3169.2595,3172.349551,3150.307186,3150.307186,0
2025-04-14,3302.337705,3302.337705,3302.337705,3302.337705,1
2025-04-15,3312.122867,3312.94688,3312.122867,3312.94688,3
2025-04-16,3411.31351,3431.192839,3411.31351,3431.192839,4
2025-04-17,3411.31351,3431.192839,3411.31351,3431.192839,0
2025-04-21,3516.787257,3521.628337,3516.787257,3520.907325,7
2025-04-22,3528.220446,3528.735455,3461.887348,3466.625426,24
2025-04-23,3356.928609,3372.172861,3352.293532,3372.06986,6
2025-04-24,3407.914453,3424.188723,3402.970372,3424.188723,6
2025-04-25,3366.095761,3400.292327,3366.095761,3400.292327,6
2025-04-28,3379.976533,3433.879747,3365.888192,3425.100056,126613
2025-04-29,3396.719197,3410.501269,3378.241012,3397.127555,95270
2025-04-30,3383.447573,3399.883969,3362.621331,3368.542517,110951
2025-05-01,3302.694841,3316.681092,3279.520543,3315.762287,116295
2025-05-02,3333.423757,3341.59091,3296.977834,3315.047661,133755
2025-05-05,3397.127555,3416.728724,3383.141305,3413.666041,93905
2025-05-06,3476.451035,3516.367998,3457.564492,3513.509494,119010
2025-05-07,3464.812841,3477.778197,3441.434364,3442.965705,116246
2025-05-08,3437.248697,3446.232566,3362.212973,3379.466085,154832
2025-05-09,3414.380667,3423.058268,3394.064873,3398.760986,96358
2025-05-12,3309.636922,3320.968847,3290.64829,3309.636922,99014
2025-05-13,3316.783181,3330.361074,3296.875744,3322.602278,89756
2025-05-14,3256.856691,3269.41369,3237.561791,3247.566554,106268
2025-05-15,3262.063252,3312.597515,3256.958781,3311.474531,115735
2025-05-16,3243.789246,3275.641145,3234.703287,3272.680552,102533
2025-05-19,3302.388573,3311.168263,3286.258445,3299.632159,95567
2025-05-20,3307.186776,3367.317444,3306.676329,3361.294169,124867
2025-05-21,3375.790866,3396.617108,3366.194461,3385.999808,98145
2025-05-22,3380.180711,3382.630857,3346.287024,3363.744315,109938
2025-05-23,3421.629016,3436.942429,3405.805156,3427.856471,105326
2025-05-26,3407.642765,3413.563952,3404.273815,3412.236789,21112
2025-05-27,3364.152672,3375.995045,3352.004031,3369.155054,60282
2025-05-28,3373.136541,3377.322208,3342.407626,3353.127015,41948
2025-05-29,3386.408166,3398.965165,3372.013558,3382.937126,2527
2025-05-30,3361.804616,3366.704908,3340.365837,3361.804616,85
2025-06-02,3424.38543,3451.337037,3424.38543,3451.337037,60
2025-06-03,3410.29709,3420.097675,3400.496506,3420.097675,56
2025-06-04,3450.316143,3450.316143,3450.316143,3450.316143,1
2025-06-05,3445.109583,3445.51794,3419.383049,3427.856471,36
2025-06-06,3415.912009,3415.912009,3387.42906,3398.250539,8
2025-06-09,3389.981296,3404.988441,3389.777117,3398.556807,23
2025-06-10,3391.818905,3401.313221,3391.818905,3395.902482,22
2025-06-11,3408.051123,3421.629016,3394.57532,3421.629016,4
2025-06-12,3461.852248,3464.608662,3453.378826,3453.378826,14
2025-06-13,3461.852248,3464.608662,3453.378826,3453.378826,0
2025-06-16,3459.095833,3467.875524,3459.095833,3467.467166,8
2025-06-17,3455.624793,3459.402102,3455.522704,3459.402102,8
