date,open,high,low,close,volume
2025-02-25,22431.442967,22437.996886,22011.205685,22226.174226,1673483
2025-02-26,22271.265188,22450.842567,22089.066242,22309.540075,1455770
2025-02-27,22378.225146,22420.69454,21583.365856,21636.583678,2016426
2025-02-28,21592.017029,21962.706685,21455.171202,21926.791209,1873414
2025-03-03,22079.628599,22147.789356,21305.479693,21529.361564,1936225
2025-03-04,21331.695369,21741.184224,21051.974109,21534.866856,1930389
2025-03-05,21414.274748,21733.319522,21197.995423,21612.465256,1812520
2025-03-06,21298.663618,21510.748435,20975.424335,21156.312498,1876932
2025-03-07,21011.601968,21273.234412,20727.161886,21189.606406,2147066
2025-03-10,20848.540465,20869.775162,20208.877976,20418.865539,1992694
2025-03-11,20364.336933,20644.844664,20134.687614,20343.102236,2248548
2025-03-12,20654.282307,20738.434627,20338.121258,20522.679615,1890643
2025-03-13,20525.563339,20528.971377,20097.461354,20232.996398,2028712
2025-03-14,20411.52515,20702.781307,20370.890852,20623.085653,1612774
2025-03-17,20660.836226,20929.80906,20582.975669,20794.798329,764591
2025-03-18,20649.563486,20651.136426,20344.41302,20444.819058,452404
2025-03-19,20537.360393,20905.166324,20451.635134,20698.848956,285341
2025-03-20,20535.787453,20866.104967,20504.590799,20648.514859,172210
2025-03-21,20403.048266,20735.180654,20350.374145,20728.174736,1362568
2025-03-24,21024.239622,21183.04042,20995.696995,21128.290472,984027
2025-03-25,21174.996589,21302.919454,21134.517954,21295.135101,977704
2025-03-26,21214.177832,21251.283247,20801.088174,20852.205425,1354573
2025-03-27,20788.114253,20964.819062,20693.664105,20755.419971,1473931
2025-03-28,20665.899913,20697.296803,20094.787893,20096.344764,1518169
2025-03-31,19893.432633,20228.419284,19696.229028,20148.499928,1653736
2025-04-01,20115.286689,20387.998517,19991.515479,20340.513965,1774159
2025-04-02,20060.796219,20805.239829,19799.501442,19862.5547,1975764
2025-04-03,19641.219601,19797.166137,19319.725829,19355.533852,1630314
2025-04-04,18841.247608,18940.627846,18046.205705,18149.218641,2122726
2025-04-07,17569.803311,19056.355225,17305.654272,18297.89978,2187512
2025-04-08,18837.095953,19053.241484,17615.471515,17885.848037,2135019
2025-04-09,17860.159672,20123.071042,17848.223665,20084.668235,1901480
2025-04-10,19503.436556,19587.248088,18597.597364,19203.99845,2100405
2025-04-11,19113.181001,19588.804959,18962.683512,19532.49814,1598173
2025-04-14,19961.934938,19985.287997,19448.946086,19620.461327,1654285
2025-04-15,19706.867644,19870.598532,19600.481488,19658.085699,1374127
2025-04-16,19289.366853,19445.572867,18803.104279,19069.329146,1597814
2025-04-17,19199.846796,19228.389423,18953.601767,19128.749706,1514753
2025-04-21,18816.078201,18854.481008,18371.072697,18591.110404,1206888
2025-04-22,18840.469173,19215.415501,18786.49766,19055.317311,1489873
2025-04-23,19667.426923,19892.39472,19439.864341,19564.673465,1627011
2025-04-24,19591.140265,20153.17054,19561.040767,20079.738145,1391258
2025-04-25,20034.069941,20332.729612,19963.751287,20296.143154,1470321
2025-04-28,20289.396714,20366.721286,19987.882781,20222.45128,1342521
2025-04-29,20163.809155,20439.115767,20139.677661,20357.899019,1228864
2025-04-30,20033.032028,20632.167718,19826.487199,20600.770828,1574758
2025-05-01,20728.693693,20888.272926,20505.023288,20547.57775,1340739
2025-05-02,20852.98386,21045.776332,20778.513551,20966.375933,1156706
2025-05-05,20768.912849,20956.775231,20742.965006,20800.828696,956784
2025-05-06,20546.280358,20786.297904,20486.60032,20598.695,1252356
2025-05-07,20654.223384,20815.359488,20424.584975,20713.903422,1397188
2025-05-08,20926.935212,21108.570111,20735.440132,20919.929294,1324374
2025-05-09,20993.880646,21048.630595,20817.954272,20910.328592,1078795
2025-05-12,21711.857456,21792.03629,21474.434695,21752.595569,1144708
2025-05-13,21800.599079,22156.344003,21768.423754,22060.596463,1053288
2025-05-14,22122.871286,22231.852226,22079.27891,22214.986128,1090567
2025-05-15,22110.416322,22346.022734,22053.850024,22207.461254,1040998
2025-05-16,22281.412606,22328.637679,22128.320333,22215.764563,837506
2025-05-19,22006.105994,22362.369875,22005.327558,22333.308291,925486
2025-05-20,22224.067873,22287.899566,22105.486231,22231.073791,906705
2025-05-21,22085.765871,22375.862753,21870.658254,21946.944912,1345922
2025-05-22,21973.67119,22146.743301,21914.25063,22018.560958,1045154
2025-05-23,21639.981932,21883.113219,21610.920348,21747.665479,1044264
2025-05-26,22067.083424,22115.60589,22019.85835,22091.474396,114571
2025-05-27,22065.526554,22302.949315,21996.76477,22291.791743,783294
2025-05-28,22320.074891,22382.349714,22128.320333,22341.092644,894994
2025-05-29,22496.001265,22501.190834,22108.599973,22195.265767,1134178
2025-05-30,22193.449418,22245.864061,21870.398776,22179.178105,1191550
2025-06-02,22095.107094,22394.804679,22039.578711,22371.970577,840763
2025-06-03,22363.14831,22584.742888,22325.523938,22510.272579,851082
2025-06-04,22549.7133,22629.373177,22461.490635,22572.028445,843467
2025-06-05,22639.233358,22767.934658,22318.777499,22329.156636,1308957
2025-06-06,22623.92413,22709.552012,22545.042688,22636.638573,886252
2025-06-09,22624.443087,22722.525933,22574.882708,22648.834059,719041
2025-06-10,22664.402765,22826.057826,22567.357833,22783.762842,878905
2025-06-11,22851.74619,22903.382397,22616.399256,22712.406274,1135238
2025-06-12,22656.877891,22810.748599,22643.125534,22738.873074,835686
2025-06-13,22501.969269,22684.382604,22420.233564,22474.983513,1052370
2025-06-16,22619.772476,22830.468959,22618.475083,22767.156223,250360
2025-06-17,22667.516506,22738.354117,22505.861446,22551.270171,184208
2025-06-18,22595.381503,22702.027137,22481.210995,22555.421825,136141
2025-06-19,22385.722934,22387.539283,22246.123539,22327.340287,23555
2025-06-20,22708.476681,22766.084341,22384.69077,22501.963507,1179548
2025-06-23,22497.077143,22727.250606,22362.573544,22705.647734,1145590
2025-06-24,22925.791292,23092.184846,22899.044878,23052.836756,704929
2025-06-25,23145.163319,23195.570021,23030.976707,23117.902551,824222
2025-06-26,23200.199208,23344.218358,23121.50303,23323.644194,773300
2025-06-27,23359.134627,23478.979135,23248.805671,23393.081999,975070
2025-06-30,23528.871483,23592.394215,23433.97315,23522.18488,856980
2025-07-01,23457.633439,23500.839184,23242.376245,23342.932473,1031289
2025-07-02,23304.613092,23514.983922,23301.012613,23509.326027,709254
2025-07-03,23590.336799,23764.445664,23588.022205,23720.982742,426025
2025-07-04,23575.42053,23604.738714,23544.559283,23562.047323,81995
2025-07-07,23601.909766,23637.657377,23434.230327,23493.638227,978870
2025-07-08,23593.422924,23621.969577,23496.724351,23561.018615,855923
2025-07-09,23638.171731,23774.732747,23574.906176,23704.780588,904678
2025-07-10,23734.613126,23752.61552,23558.446844,23670.318863,814378
2025-07-11,23573.105936,23682.663361,23519.355932,23595.737517,828525
2025-07-14,23601.395412,23729.983939,23498.267414,23697.57963,725700
2025-07-15,23866.287778,23889.433713,23671.090394,23678.805705,995974
2025-07-16,23736.92772,23763.159779,23491.323633,23725.097575,1100415
2025-07-17,23763.416956,23949.355966,23727.926523,23933.410989,752678
2025-07-18,23969.415776,23979.188504,23835.169354,23895.605962,817775
2025-07-21,23923.895438,24097.489949,23922.609553,24016.993531,745564
2025-07-22,24016.222,24020.079656,23768.30332,23864.487538,984674
2025-07-23,23929.296156,24088.745929,23806.879878,24082.830857,977948
2025-07-24,24045.02583,24097.489949,23967.35836,24066.628703,803648
2025-07-25,24031.138269,24150.982776,24000.019846,24120.378707,695799
2025-07-28,24146.867944,24203.189718,24109.834448,24183.901439,704231
2025-07-29,24272.8847,24331.263891,24094.403825,24124.750717,939192
2025-07-30,24161.527036,24368.04021,24025.480374,24341.550973,1019494
2025-07-31,24429.505526,24434.134713,23955.013861,23998.991138,1448009
2025-08-01,23751.072458,23758.530592,23442.459993,23525.528181,1346372
2025-08-04,23757.244707,24024.194489,23751.586812,24021.879895,842569
2025-08-05,24019.050948,24068.943296,23744.643031,23753.644228,1213516
2025-08-06,23833.883469,24117.806936,23813.309305,24085.145451,1008732
2025-08-07,24278.542595,24350.809347,23999.762669,24196.760292,1277941
2025-08-08,24217.591633,24450.851221,24205.504312,24449.565336,878015
2025-08-11,24396.586863,24487.884717,24264.14068,24308.375133,825751
2025-08-12,24414.33208,24640.133533,24300.145468,24636.275877,851828
2025-08-13,24734.774689,24759.97804,24571.724437,24614.673005,899711
2025-08-14,24543.177784,24694.655068,24525.689744,24576.867978,931945
2025-08-15,24595.641903,24597.184965,24416.132319,24479.655051,913762
2025-08-18,24451.108398,24508.458881,24399.672988,24472.454094,774967
2025-08-19,24444.678972,24453.165815,24097.747126,24147.125121,1162823
2025-08-20,24098.26148,24104.690907,23696.550922,23988.189701,1413397
2025-08-21,23928.010271,24018.536594,23783.219589,23889.176536,1255412
2025-08-22,23932.639458,24328.949298,23872.460027,24259.76867,1218420
2025-08-25,24170.528233,24294.74475,24118.064114,24176.957659,868723
2025-08-26,24144.038996,24288.829677,24099.290189,24284.972021,929877
2025-08-27,24217.334456,24364.954085,24101.604782,24218.105987,940797
2025-08-28,24319.17657,24487.113186,24249.224411,24443.393087,1044222
2025-08-29,24331.006714,24347.466046,24073.315306,24127.836842,1150781
2025-09-01,24149.954068,24181.844023,24116.263874,24177.472013,83340
2025-09-02,23763.416956,24057.884683,23686.006663,24050.426548,1270963
2025-09-03,24095.946887,24201.389479,23987.675347,24128.86555,1208011
2025-09-04,24154.326078,24389.643082,24082.059326,24363.6682,1016244
2025-09-05,24559.894292,24588.698122,24179.786606,24352.609587,1501261
2025-09-08,24467.053376,24573.781853,24440.564139,24481.712468,985830
2025-09-09,24519.260318,24604.643099,24407.645476,24574.810561,941244
2025-09-10,24687.454111,24689.768704,24467.824907,24543.949315,1065469
2025-09-11,24665.336884,24739.146699,24596.156257,24695.683777,875514
2025-09-12,24730.659856,24852.561779,24691.05459,24806.784264,831401
2025-09-15,24871.850058,25013.811792,24865.934986,24993.237628,372778
2025-09-16,25043.129976,25054.960121,24953.889539,24989.894326,158998
2025-09-17,24977.807005,25005.839304,24692.597652,24955.946955,208205
2025-09-18,25137.256778,25274.589325,25054.960121,25167.346493,102860
2025-09-19,25222.592199,25344.79468,25161.490958,25317.55371,865912
2025-09-22,25270.709426,25486.600477,25269.691072,25455.286091,808070
2025-09-23,25459.868684,25468.779281,25234.048681,25290.058152,1068793
2025-09-24,25341.739618,25356.251163,25080.022637,25201.97053,1065046
2025-09-25,25027.577405,25150.289064,24870.24171,25087.405703,1455799
2025-09-26,25106.75443,25200.697587,24970.040403,25181.348861,1193858
2025-09-29,25307.37017,25433.391479,25235.321624,25266.890598,996259
2025-09-30,25276.055784,25371.017296,25176.257091,25294.386157,1187168
2025-10-01,25218.009606,25496.529428,25179.82133,25468.015516,948771
2025-10-02,25626.624153,25630.952158,25452.485617,25566.286678,1022732
2025-10-03,25594.80059,25632.988866,25380.437071,25440.01078,1155615
2025-10-06,25677.032677,25716.493895,25571.12386,25646.227468,811973
2025-10-07,25700.454819,25729.22332,25443.829608,25514.8598,1214149
2025-10-08,25540.573239,25830.294956,25533.444761,25819.856827,880229
2025-10-09,25793.8888,25799.744336,25622.550737,25751.627108,1126408
2025-10-10,25777.849724,25853.971687,24601.141662,24632.201459,2128749
2025-10-13,25280.383789,25423.207939,25178.293799,25362.106698,1249596
2025-10-14,25090.715354,25405.132155,24871.514653,25210.117362,1525917
2025-10-15,25461.141626,25578.761515,25116.174204,25399.785797,1672762
