date,open,high,low,close,volume
2025-02-25,45133.65388,45349.846896,44837.810806,45251.577343,118364
2025-02-26,45226.751351,45447.082032,44819.191312,44999.179756,110033
2025-02-27,45010.558335,45460.529445,44766.436078,44805.743899,151907
2025-02-28,44856.4303,45445.013199,44639.202868,45349.846896,138499
2025-03-03,45518.45676,45637.414639,44466.455339,44814.01923,172492
2025-03-04,44479.902751,44635.065203,43879.941272,44299.914308,188170
2025-03-05,44020.621895,44683.682771,43934.765339,44530.589152,164539
2025-03-06,44107.512868,44521.279405,43885.113354,44125.097946,175980
2025-03-07,43874.769191,44421.975436,43659.610591,44282.32923,179572
2025-03-10,43796.153549,44078.54921,43099.99135,43449.624074,152960
2025-03-11,43285.151875,43348.251272,42638.641661,42903.452245,172837
2025-03-12,43116.542011,43192.054404,42458.653217,42779.322283,155547
2025-03-13,42748.289793,42834.14635,42109.020493,42314.869345,107163
2025-03-14,42467.962964,42993.446466,42359.349248,42878.626252,111019
2025-03-17,42898.280163,43488.931895,42878.626252,43330.666194,32810
2025-03-18,43244.809638,43262.394716,42860.006758,43036.891953,23498
2025-03-19,43147.574502,43660.645008,42990.343217,43440.314327,15410
2025-03-20,43181.710241,43719.606739,43146.540085,43497.207225,10503
2025-03-21,43111.73038,43523.93362,42916.422112,43511.598361,81939
2025-03-24,43869.320873,44168.450905,43806.61664,44088.271722,71422
2025-03-25,44166.395029,44227.043386,43959.77944,44125.277499,62857
2025-03-26,44158.171523,44348.3401,43826.147467,43918.66191,97656
2025-03-27,43882.684071,44033.790994,43646.258272,43809.700455,94228
2025-03-28,43694.57137,43732.605086,42875.304582,42875.304582,81265
2025-03-31,42667.661054,43608.224557,42585.425994,43401.608968,127901
2025-04-01,43300.871019,43603.084866,42941.09263,43407.776597,127972
2025-04-02,43079.864294,44034.818932,43058.277591,43168.266984,133083
2025-04-03,42515.526193,42582.342179,41788.773847,41810.36055,150612
2025-04-04,40825.595703,41009.59665,39371.063073,39517.030305,253326
2025-04-07,38369.851214,40527.493609,37845.602704,39517.030305,291015
2025-04-08,40670.377026,40756.72384,38334.901313,38808.780848,292080
2025-04-09,38439.751015,42177.334507,38437.695138,42149.580174,247964
2025-04-10,41296.391423,41360.123595,39709.254759,40913.998393,226082
2025-04-11,40738.220951,41749.712193,40552.164127,41572.906814,174109
2025-04-14,42098.183262,42136.216977,41483.476186,41813.444365,150044
2025-04-15,41919.322005,42155.747804,41654.113936,41678.784454,127781
2025-04-16,41553.375987,41757.935699,40690.935792,40941.752726,133731
2025-04-17,40429.839475,40740.276828,40222.195948,40505.906906,122241
2025-04-21,40107.066863,40146.128517,39058.569844,39373.11895,91754
2025-04-22,39857.277867,40551.136189,39764.763425,40471.984943,127559
2025-04-23,41213.128425,41691.119713,40759.807655,40883.160245,161382
2025-04-24,40810.176629,41533.84516,40642.622694,41385.822051,105296
2025-04-25,41264.525337,41459.833606,40974.64675,41405.352878,129232
2025-04-28,41448.526285,41699.343219,41129.865426,41473.196803,92687
2025-04-29,41501.979074,41916.238191,41485.532062,41860.729525,114120
2025-04-30,41496.839383,42077.624496,40980.814379,41982.026239,135051
2025-05-01,42124.909656,42373.670714,41874.092722,41955.299844,98626
2025-05-02,42438.430824,42666.633116,42290.407715,42600.845068,90269
2025-05-05,42339.748751,42714.946214,42297.603283,42481.60423,70896
2025-05-06,42086.875941,42425.067626,41900.819117,41962.495412,100239
2025-05-07,42224.619667,42531.973205,42055.009855,42334.60906,116068
2025-05-08,42545.336402,43044.914394,42388.061849,42623.459709,117950
2025-05-09,42683.080128,42756.063744,42374.698652,42529.917328,89038
2025-05-12,43555.799706,43752.135912,43359.463499,43713.074259,95438
2025-05-13,43517.765991,43657.565593,43376.93845,43409.832474,75824
2025-05-14,43457.117634,43522.905682,43200.13307,43285.451945,70611
2025-05-15,43082.948109,43641.118581,43080.892233,43613.364248,86889
2025-05-16,43635.97889,43957.723563,43507.486608,43733.633024,69655
2025-05-19,43629.81126,44183.869979,43626.727445,44091.355536,70990
2025-05-20,44002.952847,44089.29966,43758.303542,43939.220675,56254
2025-05-21,43552.715891,43712.046321,43022.299752,43050.054085,102482
2025-05-22,43012.020369,43355.351746,42963.707272,43174.434614,77295
2025-05-23,42586.453932,43025.383567,42570.00692,42836.242928,82441
2025-05-26,43266.949057,43347.12824,43175.462552,43308.066587,4867
2025-05-27,43280.312254,43663.733223,43118.925948,43655.509717,49355
2025-05-28,43587.665792,43701.766938,43279.284316,43372.826697,59752
2025-05-29,43454.033819,43507.486608,43042.858517,43406.748659,74770
2025-05-30,43401.608968,43624.671569,43128.177392,43457.117634,80637
2025-06-02,43308.066587,43604.112804,43074.724603,43564.023212,63089
2025-06-03,43484.871966,43828.203343,43417.028042,43779.890245,55731
2025-06-04,43822.035714,43901.186959,43651.397964,43663.733223,48889
2025-06-05,43771.666739,43861.097367,43445.810313,43587.665792,104339
2025-06-06,43942.30449,44178.730288,43812.784269,44027.623365,64048
2025-06-09,44013.232229,44134.528943,43789.14169,44008.092538,51338
2025-06-10,43977.25439,44167.422967,43929.96923,44080.048216,52330
2025-06-11,44135.556881,44361.703297,43960.807378,44097.523166,77340
2025-06-12,43953.61181,44203.400806,43829.231282,44144.808326,58524
2025-06-13,43727.465394,43815.868084,43265.921118,43354.323808,98158
2025-06-16,43620.559816,43942.30449,43598.973113,43740.828592,17485
2025-06-17,43547.5762,43750.080036,43326.569475,43410.860412,19497
2025-06-18,43450.950004,43727.465394,43300.871019,43375.910511,13285
2025-06-19,43111.73038,43116.870071,42921.561803,42943.148506,1151
2025-06-20,43522.386416,43608.04836,43242.965312,43413.269415,77348
2025-06-23,43366.359303,43792.629454,43119.57132,43767.134828,93128
2025-06-24,44038.397651,44375.946503,43947.636782,44259.691008,55873
2025-06-25,44262.750363,44302.52198,44029.219586,44142.415727,54325
2025-06-26,44264.789933,44617.635561,44261.730578,44591.121149,53302
2025-06-27,44702.27772,45164.240348,44689.020514,45121.409376,80176
2025-06-30,45239.704442,45321.287246,45060.222273,45220.328526,60884
2025-07-01,45207.07132,45805.685145,45183.616264,45710.845135,81213
2025-07-02,45668.014163,45735.319977,45525.244256,45679.231799,56756
2025-07-03,45739.399117,46071.849044,45730.221051,46002.50366,35978
2025-07-04,45757.755248,45812.823641,45723.082556,45727.161696,3930
2025-07-07,45912.762576,45963.751828,45308.03004,45449.780162,78069
2025-07-08,45522.184901,45594.58964,45350.861012,45387.573274,66596
2025-07-09,45591.530284,45717.983631,45370.236928,45612.945771,62975
2025-07-10,45578.273079,45933.158277,45508.927695,45754.695893,57912
2025-07-11,45489.551779,45569.095013,45391.652414,45439.582312,56016
2025-07-14,45425.305321,45590.510499,45359.019293,45556.857593,49457
2025-07-15,45565.015873,45628.242546,45049.004637,45062.261843,65152
2025-07-16,45283.555199,45363.098433,44843.008057,45296.812405,89911
2025-07-17,45290.693694,45658.836098,45285.594769,45612.945771,55257
2025-07-18,45676.172444,45681.271369,45302.931115,45415.107471,57251
2025-07-21,45513.006836,45700.647285,45401.850265,45474.255004,58405
2025-07-22,45370.236928,45635.381042,45367.177573,45630.282116,61549
2025-07-23,45818.942351,46127.937221,45712.884706,46000.46409,70590
2025-07-24,45782.230089,46000.46409,45752.656323,45824.041276,58074
2025-07-25,45820.981921,46019.840006,45703.70664,45974.969464,57563
2025-07-28,45934.178062,46017.800436,45799.566435,45899.50537,49177
2025-07-29,45928.059351,45953.553978,45620.084266,45658.836098,60609
2025-07-30,45728.181481,45800.58622,45297.83219,45543.600387,80155
2025-07-31,45562.976303,45665.974593,45081.637759,45143.844647,98206
2025-08-01,44776.722029,44782.840739,44323.937466,44574.804588,110483
2025-08-04,44783.860524,45269.278208,44757.346113,45269.278208,57106
2025-08-05,45179.537124,45301.91133,44911.333655,45137.725937,75269
2025-08-06,45202.99218,45291.713479,44998.015385,45193.814114,65734
2025-08-07,45423.265751,45497.71006,44767.543963,44990.876889,88772
2025-08-08,45049.004637,45263.159498,44993.936244,45226.447236,59805
2025-08-11,45200.95261,45257.040788,44875.641179,44939.887637,61712
2025-08-12,45128.547871,45485.472639,45068.380553,45432.443816,65491
2025-08-13,45610.9062,45960.692473,45568.075228,45903.58451,68866
2025-08-14,45737.359547,46034.116997,45653.737173,46022.899361,65909
2025-08-15,46179.946259,46204.4211,45870.951388,45900.525155,64565
2025-08-18,45906.643865,45972.929894,45826.080846,45872.990959,49311
2025-08-19,45954.573763,46185.045184,45780.190519,45919.901071,64945
2025-08-20,45931.118707,46014.741081,45714.924276,45901.54494,83318
2025-08-21,45716.963846,45857.694183,45525.244256,45767.953098,69215
2025-08-22,45980.068389,46747.966533,45966.811183,46631.711037,87072
2025-08-25,46505.25769,46564.405223,46230.935512,46289.063259,52290
2025-08-26,46205.440885,46439.991447,46176.886904,46433.872737,50827
2025-08-27,46357.388858,46602.13727,46346.171222,46552.167803,46394
2025-08-28,46579.701999,46649.047383,46401.239615,46569.504149,55135
2025-08-29,46512.396186,46591.93942,46331.894232,46534.831457,56508
2025-09-01,46467.525643,46565.425008,46428.773811,46539.930382,6769
2025-09-02,46086.126034,46294.162185,45892.366875,46214.618951,72201
2025-09-03,46169.748408,46260.509278,45927.039566,46166.689053,65258
2025-09-04,46230.935512,46622.532971,46132.016362,46604.17684,61643
2025-09-05,46580.721784,46738.788467,46152.412063,46363.507568,85919
2025-09-08,46397.160475,46493.02027,46217.678306,46489.960915,59866
2025-09-09,46453.248653,46714.313626,46369.626279,46607.236195,77017
2025-09-10,46618.453831,46649.047383,46313.538101,46421.635316,74193
2025-09-11,46530.752317,47091.634095,46502.198335,47056.961403,78858
2025-09-12,46958.042253,47010.051291,46736.748897,46762.243523,56016
2025-09-15,46820.371271,46920.310206,46702.076205,46790.797505,32288
2025-09-16,46831.588907,46899.914505,46583.781139,46714.313626,13347
2025-09-17,46789.77772,47207.889591,46605.196625,46956.002683,14695
2025-09-18,46933.567412,47250.720563,46868.301169,47135.484852,8537
2025-09-19,47212.434133,47322.795603,47017.023458,47191.171832,62436
2025-09-22,47049.423156,47369.370168,46941.086667,47289.383415,61917
2025-09-23,47350.132848,47643.755106,47127.384928,47233.696435,86393
2025-09-24,47271.158585,47372.40764,46993.736176,47068.660476,65192
2025-09-25,46899.574555,47025.123383,46673.789163,46855.024971,88444
2025-09-26,47028.160854,47248.883793,46922.861837,47139.534814,78988
2025-09-29,47278.246019,47286.345943,47022.085911,47168.89704,67049
2025-09-30,47146.622248,47301.533301,46965.38644,47178.009455,82116
2025-10-01,47139.534814,47400.757375,47138.522324,47279.258509,68956
2025-10-02,47305.583264,47452.394393,47123.334965,47384.557526,70216
2025-10-03,47439.232016,47915.102572,47425.057148,47627.555257,91919
2025-10-06,47696.404614,47716.654425,47277.233528,47550.605976,79632
2025-10-07,47615.405371,47723.741859,47284.320962,47466.56926,87941
2025-10-08,47580.980692,47669.067369,47335.95798,47465.55677,73089
2025-10-09,47461.506808,47523.268731,47087.897796,47192.184323,80648
2025-10-10,47328.870546,47468.594241,45935.683556,46048.070006,211922
2025-10-13,46616.077202,46965.38644,46593.80241,46869.199839,88889
2025-10-14,46484.453431,47326.845565,46232.343285,47064.610514,134797
2025-10-15,47270.146095,47502.006429,46813.512859,47059.548061,131696
2025-10-16,47133.459871,47220.534058,46557.352751,46695.051465,186136
2025-10-17,46706.188861,47100.047683,46673.789163,47008.923534,122173
2025-10-20,47132.44738,47547.568504,47126.372437,47545.543523,66482
2025-10-21,47495.931486,47927.252459,47478.719147,47748.041632,78244
2025-10-22,47708.554501,47713.616953,47227.621492,47304.570773,134127
2025-10-23,47327.858056,47578.955711,47257.996208,47471.631713,78143
