date,open,high,low,close,volume
2025-02-25,22465.350405,22472.176863,22044.210415,22260.556644,646535
2025-02-26,22305.453738,22484.517,22112.475002,22341.161368,545198
2025-02-27,22412.576628,22454.848161,21617.031636,21669.542856,694457
2025-02-28,21624.383206,21996.162648,21488.116589,21959.142238,683202
2025-03-03,22113.000114,22181.789813,21337.14683,21561.894854,685573
2025-03-04,21364.190108,21773.777629,21083.517634,21568.458756,742066
2025-03-05,21446.895281,21765.900946,21230.286496,21646.963031,619208
2025-03-06,21330.845483,21543.515927,21007.63892,21186.702183,613987
2025-03-07,21042.821438,21305.114985,20758.210622,21222.147257,615413
2025-03-10,20879.511542,20904.191816,20240.187431,20449.969757,621572
2025-03-11,20395.8832,20675.50545,20165.358942,20375.66638,642756
2025-03-12,20685.745138,20771.075871,20369.365034,20555.779867,539929
2025-03-13,20557.092647,20560.243321,20132.801985,20261.979588,561494
2025-03-14,20442.618186,20734.055461,20412.949347,20655.28863,535514
2025-03-17,20692.30904,20961.691602,20614.592434,20827.262877,306099
2025-03-18,20681.281684,20682.594465,20371.990595,20475.962812,177296
2025-03-19,20569.170228,20936.22366,20483.839495,20730.379675,99986
2025-03-20,20567.332335,20898.153025,20536.350715,20679.443791,53136
2025-03-21,20433.089786,20765.979534,20381.376234,20758.963122,468697
2025-03-24,21055.731344,21215.029874,21027.665698,21160.717651,409313
2025-03-25,21206.454259,21334.828604,21165.395258,21327.032591,369721
2025-03-26,21245.694191,21283.115052,20836.14365,20883.439461,533050
2025-03-27,20818.992421,20996.741514,20724.140932,20786.509034,495099
2025-03-28,20696.854887,20728.558672,20121.509139,20125.147279,564524
2025-03-31,19922.970679,20258.978832,19725.731554,20179.199634,641559
2025-04-01,20145.416912,20419.31683,20021.460308,20371.501284,634848
2025-04-02,20090.844822,20835.364048,19829.678392,19908.158254,696313
2025-04-03,19671.159464,19827.079721,19348.6644,19384.526059,642712
2025-04-04,18871.02868,18968.998574,18073.756433,18173.285531,900886
2025-04-07,17593.002308,19086.198634,17331.576011,18324.52818,749120
2025-04-08,18866.870806,19081.780893,17643.416525,17912.1191,746800
2025-04-09,17887.691594,20151.913589,17881.194916,20117.351266,760957
2025-04-10,19532.390436,19616.327507,18626.233877,19231.724207,740517
2025-04-11,19142.329927,19618.406444,18991.087277,19563.31462,466974
2025-04-14,19991.055858,20014.703763,19477.038744,19648.551027,432062
2025-04-15,19736.126238,19900.362242,19629.580729,19685.452154,410728
2025-04-16,19317.740215,19474.440074,18831.269014,19094.254514,522101
2025-04-17,19228.345935,19257.191182,18982.251796,19155.063414,480286
2025-04-21,18844.782103,18881.943098,18398.590302,18621.036535,378270
2025-04-22,18868.689876,19244.717562,18814.897387,19083.599963,492627
2025-04-23,19696.886307,19921.931211,19468.982865,19593.978937,564154
2025-04-24,19620.225514,20184.396976,19590.340798,20111.114455,446511
2025-04-25,20063.818644,20362.146069,19992.874927,20326.544277,433444
2025-04-28,20319.787732,20397.487994,20017.302434,20252.742022,413972
2025-04-29,20193.492324,20465.573173,20169.584552,20388.392645,438306
2025-04-30,20063.039043,20664.631367,19857.744038,20631.888113,568585
2025-05-01,20759.222989,20920.080721,20537.036624,20580.434428,456559
2025-05-02,20883.959195,21077.040446,20809.897073,21001.938856,368892
2025-05-05,20800.022123,20988.425767,20774.035414,20833.285111,302551
2025-05-06,20576.796289,20816.653617,20518.066326,20630.069043,396176
2025-05-07,20684.901,20844.979131,20455.438356,20745.190166,459671
2025-05-08,20958.800918,21139.928283,20767.538737,20951.784507,428780
2025-05-09,21025.326894,21080.158851,20849.656738,20941.64969,342202
2025-05-12,21744.639012,21824.678078,21506.600754,21784.138811,430920
2025-05-13,21833.513559,22189.011744,21800.510438,22093.640521,401778
2025-05-14,22156.008623,22264.892936,22113.39042,22244.363435,380726
2025-05-15,22143.275136,22379.494325,22086.364242,22240.985163,420691
2025-05-16,22314.787418,22361.043761,22161.725699,22244.88317,309030
2025-05-19,22040.107899,22394.826483,22039.068431,22366.241103,358457
2025-05-20,22258.136391,22321.80383,22138.597528,22265.41267,333232
2025-05-21,22118.587762,22409.379041,21904.457276,21980.0786,495944
2025-05-22,22006.844911,22179.656529,21947.075479,22051.801918,384718
2025-05-23,21671.876226,21915.111827,21644.330314,21780.240804,352076
2025-05-26,22099.09773,22148.732345,22052.841387,22123.525236,24492
2025-05-27,22098.577995,22336.616254,22029.193481,22324.662368,331338
2025-05-28,22354.027349,22418.734256,22162.765168,22374.55685,335072
2025-05-29,22529.697505,22535.414581,22141.715933,22229.031277,386227
2025-05-30,22225.912872,22279.445493,21903.15794,22212.399783,430516
2025-06-02,22127.942977,22427.829604,22072.851153,22405.221167,332526
