date,open,high,low,close,volume
2025-02-25,115.332291,115.700471,115.148202,115.4857,275980
2025-02-26,115.577745,116.160696,115.332291,116.068651,141405
2025-02-27,115.424336,115.915243,115.332291,115.915243,38758
2025-02-28,116.160696,116.651602,115.761834,116.467512,4823
2025-03-03,116.130014,117.203872,116.130014,117.081145,783
2025-03-04,117.234553,117.510688,115.884561,115.884561,923
2025-03-05,116.498194,116.498194,115.30161,115.4857,449
2025-03-06,115.393655,115.393655,114.534569,115.056157,50
2025-03-07,115.639108,115.66979,114.718659,114.902749,122
2025-03-10,115.884561,116.160696,115.823198,115.915243,65
2025-03-11,116.099333,116.099333,115.30161,115.332291,121
2025-03-12,114.810704,114.810704,114.718659,114.718659,3
2025-03-13,114.56525,115.148202,114.56525,115.11752,63
2025-03-14,114.810704,114.994793,114.810704,114.872067,8
2025-03-17,115.577745,115.577745,115.148202,115.209565,17
2025-03-18,114.93343,115.4857,114.93343,115.455018,49
2025-03-19,115.056157,115.823198,115.025475,115.823198,282
2025-03-20,116.776602,116.807357,115.730933,115.853953,246190
2025-03-21,116.038483,116.161502,115.484893,115.577158,246220
2025-03-24,114.992814,115.023569,114.439224,114.500734,203309
2025-03-25,114.408469,114.931304,114.377714,114.654509,201148
2025-03-26,114.254695,114.469979,113.9779,114.10092,259559
2025-03-27,113.79337,113.9779,113.60884,113.885635,212146
2025-03-28,114.808284,115.331118,114.716019,115.300363,263738
2025-03-31,116.099992,116.192257,115.238853,115.946218,451360
2025-04-01,116.376787,117.022641,116.315277,116.499807,353615
2025-04-02,117.360946,117.360946,115.730933,116.930377,408590
2025-04-03,117.914535,118.25284,117.422456,117.760761,451828
2025-04-04,119.144734,119.606058,118.160575,118.49888,680708
2025-04-07,117.422456,117.699251,114.900549,115.331118,840148
2025-04-08,114.408469,115.515648,113.147516,113.147516,668527
2025-04-09,112.163357,113.885635,111.117688,113.332046,768757
2025-04-10,113.055251,113.516575,111.702032,111.855807,502002
2025-04-11,110.994668,112.009582,109.88749,111.209953,491096
2025-04-14,112.317132,112.747701,111.794297,112.470907,265530
2025-04-15,112.194112,113.209026,112.132602,112.901476,224084
2025-04-16,112.870721,113.639595,112.563171,113.516575,274331
2025-04-17,113.147516,113.332046,112.440152,112.624681,179075
2025-04-21,111.794297,112.317132,111.056178,111.302218,240677
2025-04-22,111.825052,112.101847,111.486748,111.702032,209648
2025-04-23,113.824125,114.131675,112.194112,112.470907,367240
2025-04-24,113.086006,113.424311,112.870721,113.147516,177591
2025-04-25,113.9779,114.439224,113.67035,114.408469,200736
2025-04-28,113.85488,114.685264,113.824125,114.562244,209166
2025-04-29,114.469979,115.331118,114.439224,115.085079,188021
2025-04-30,115.023569,115.300363,114.592999,114.777529,405834
2025-05-01,114.992814,115.023569,113.91639,114.22394,236784
2025-05-02,113.270536,113.60884,112.932231,113.209026,217598
2025-05-05,112.932231,112.962986,112.317132,112.655436,178265
2025-05-06,112.378642,113.147516,112.194112,113.086006,229026
2025-05-07,113.332046,113.762615,113.332046,113.60884,196555
2025-05-08,113.54733,113.578085,112.255622,112.440152,255860
2025-05-09,112.470907,112.778456,112.378642,112.470907,145169
2025-05-12,111.579013,112.040337,111.425238,111.517503,218911
2025-05-13,111.486748,111.609768,110.810138,111.332973,237831
2025-05-14,111.025423,111.117688,110.410324,110.502589,228477
2025-05-15,110.871648,111.732787,110.717874,111.640523,231099
2025-05-16,112.132602,112.163357,110.748629,110.963913,197279
2025-05-19,110.102774,111.486748,110.041264,111.455993,271985
2025-05-20,110.656364,110.871648,110.256549,110.656364,220031
2025-05-21,109.948999,110.318059,108.995596,108.995596,431327
2025-05-22,108.749556,109.733715,108.503516,109.672205,318549
2025-05-23,110.102774,110.133529,109.64145,109.82598,182771
2025-05-26,109.82598,110.133529,109.76447,110.072019,13725
2025-05-27,110.533344,111.209953,110.318059,110.902403,172745
2025-05-28,110.625609,110.779384,110.195039,110.564099,84645
2025-05-29,110.933158,111.517503,110.840893,111.363728,14974
2025-05-30,111.332973,111.763542,111.209953,111.486748,4033
2025-06-02,110.994668,111.179198,110.533344,111.025423,399
2025-06-03,111.179198,111.394483,110.656364,110.840893,445
2025-06-04,111.394483,112.470907,111.394483,112.286377,478
2025-06-05,112.532417,112.624681,112.040337,112.163357,291
2025-06-06,111.332973,111.363728,110.810138,110.810138,103
2025-06-09,110.717874,111.179198,110.656364,111.148443,7
2025-06-10,111.425238,111.425238,111.209953,111.394483,28
2025-06-11,111.609768,112.009582,111.579013,111.794297,122
2025-06-12,112.747701,112.839966,112.563171,112.839966,8
2025-06-13,112.132602,112.132602,111.978827,112.101847,39
2025-06-16,111.855807,112.071092,111.855807,112.071092,141
2025-06-17,112.286377,112.286377,112.286377,112.286377,2
2025-06-18,112.687841,112.934895,112.162849,112.255495,204425
2025-06-19,112.34814,112.440786,112.193731,112.286377,8067
2025-06-20,111.915795,112.626077,111.699622,112.379022,165548
2025-06-23,112.84225,113.367241,112.656959,112.687841,240342
2025-06-24,112.471668,113.459887,112.440786,113.305478,235490
2025-06-25,112.996659,113.367241,112.687841,113.305478,188446
2025-06-26,113.52165,113.830469,113.089305,113.706942,219447
2025-06-27,113.305478,113.923114,112.996659,113.212832,254851
2025-06-30,113.583414,114.170169,113.274596,114.077524,407940
2025-07-01,114.139287,114.293697,113.583414,114.139287,244407
2025-07-02,113.120187,113.583414,113.058423,113.552532,182451
2025-07-03,113.058423,113.212832,112.749604,112.965777,131918
2025-07-04,113.089305,113.212832,112.811368,112.934895,16372
2025-07-07,112.440786,112.50255,111.792267,112.131968,220172
2025-07-08,111.421685,112.00844,111.32904,111.915795,170623
2025-07-09,112.070204,112.84225,112.070204,112.84225,217438
2025-07-10,112.718723,112.934895,112.379022,112.749604,170411
2025-07-11,112.039322,112.131968,111.483449,111.66874,193017
2025-07-14,111.452567,111.761385,111.143749,111.32904,183362
2025-07-15,111.730504,111.730504,110.618757,110.680521,272864
2025-07-16,110.989339,111.390803,110.032002,110.804048,462686
2025-07-17,111.020221,111.267276,110.711403,110.927576,161038
2025-07-18,111.236394,111.32904,110.927576,111.236394,114327
2025-07-21,112.162849,112.440786,111.854031,111.946677,202277
2025-07-22,112.101086,112.718723,112.070204,112.440786,204578
2025-07-23,112.039322,112.193731,111.761385,112.131968,218685
2025-07-24,111.390803,112.162849,111.359922,112.101086,171086
2025-07-25,111.761385,112.379022,111.66874,112.193731,161257
2025-07-28,111.946677,112.162849,111.761385,111.854031,148586
2025-07-29,112.255495,113.336359,112.193731,113.305478,343235
2025-07-30,112.626077,112.934895,112.440786,112.656959,218776
2025-07-31,113.027541,113.274596,112.595195,112.626077,336206
2025-08-01,113.892233,114.478988,113.830469,114.201051,295859
2025-08-04,114.478988,114.633397,114.077524,114.571633,202829
2025-08-05,114.262815,114.84957,114.201051,114.571633,236250
2025-08-06,114.201051,114.448106,112.996659,114.046642,367687
2025-08-07,114.293697,114.540751,113.984878,114.01576,232562
2025-08-08,113.737823,113.768705,113.490769,113.645178,143327
2025-08-11,113.861351,114.046642,113.645178,113.645178,129122
2025-08-12,113.274596,113.429005,112.965777,113.367241,197393
2025-08-13,113.923114,114.293697,113.892233,114.139287,159500
2025-08-14,113.861351,113.892233,113.274596,113.429005,192208
2025-08-15,113.027541,113.151068,112.595195,112.749604,186414
2025-08-18,112.84225,112.873132,112.255495,112.533432,147810
2025-08-19,112.718723,113.058423,112.718723,112.904014,143432
2025-08-20,112.934895,113.367241,112.934895,113.120187,189341
2025-08-21,112.934895,113.027541,112.409904,112.780486,194155
2025-08-22,113.120187,113.768705,113.027541,113.614296,260446
2025-08-25,113.120187,113.459887,113.027541,113.336359,113517
2025-08-26,113.027541,113.305478,112.749604,113.058423,105598
2025-08-27,112.656959,113.305478,112.564313,113.18195,70631
2025-08-28,113.367241,113.892233,113.274596,113.861351,17617
2025-08-29,113.367241,113.490769,113.089305,113.305478,3631
2025-09-01,112.904014,113.027541,112.904014,112.934895,95
2025-09-02,112.533432,112.780486,112.440786,112.687841,1558
2025-09-03,112.873132,113.737823,112.84225,113.583414,298
2025-09-04,113.861351,114.293697,113.552532,114.293697,106
2025-09-05,115.281915,115.559852,115.251034,115.436325,119
2025-09-08,116.115725,116.393662,116.115725,116.115725,238
2025-09-09,116.301016,116.424544,116.02308,116.146607,140
2025-09-10,116.301016,116.918653,116.115725,116.609835,1587
2025-09-11,117.19659,117.19659,116.918653,116.949535,193
2025-09-12,116.115725,116.115725,116.115725,116.115725,1
2025-09-15,116.764244,116.949535,116.764244,116.856889,53
2025-09-16,116.856889,117.073062,116.795126,117.04218,19
2025-09-17,117.103944,117.505408,116.331898,116.331898,76
2025-09-18,115.652498,115.992198,115.621616,115.806907,90
