datetime_et,open,high,low,close,volume,is_or
2026-02-25 02:55:00,1.187343,1.187343,1.187343,1.187343,4,0
2026-02-25 02:56:00,1.187242,1.187242,1.187242,1.187242,1,0
2026-02-25 02:57:00,1.187343,1.187343,1.187343,1.187343,6,0
2026-02-25 02:58:00,1.187343,1.187443,1.187343,1.187443,40,0
2026-02-25 02:59:00,1.187343,1.187343,1.187141,1.187141,24,0
2026-02-25 03:00:00,1.187141,1.187141,1.187041,1.187041,43,1
2026-02-25 03:01:00,1.187141,1.187242,1.187141,1.187141,18,1
2026-02-25 03:02:00,1.187141,1.187141,1.187141,1.187141,3,1
2026-02-25 03:03:00,1.187242,1.187242,1.187141,1.187141,14,1
2026-02-25 03:04:00,1.187141,1.187242,1.187141,1.187141,3,1
2026-02-25 03:05:00,1.187141,1.187141,1.187141,1.187141,13,0
2026-02-25 03:06:00,1.187041,1.187041,1.187041,1.187041,2,0
2026-02-25 03:07:00,1.187141,1.187242,1.187141,1.187242,8,0
2026-02-25 03:08:00,1.187141,1.187242,1.187141,1.187242,0,0
2026-02-25 03:09:00,1.187343,1.187343,1.187343,1.187343,1,0
2026-02-25 03:10:00,1.187242,1.187242,1.187242,1.187242,2,0
2026-02-25 03:11:00,1.187343,1.187443,1.187242,1.187242,7,0
2026-02-25 03:12:00,1.187242,1.187242,1.187242,1.187242,1,0
2026-02-25 03:13:00,1.187242,1.187242,1.187141,1.187141,7,0
2026-02-25 03:14:00,1.187141,1.187141,1.187141,1.187141,21,0
2026-02-26 02:55:00,1.188449,1.188449,1.188449,1.188449,3,0
2026-02-26 02:56:00,1.18855,1.18855,1.18855,1.18855,1,0
2026-02-26 02:57:00,1.18855,1.18855,1.18855,1.18855,20,0
2026-02-26 02:58:00,1.18855,1.18855,1.18855,1.18855,4,0
2026-02-26 02:59:00,1.188449,1.188449,1.188449,1.188449,10,0
2026-02-26 03:00:00,1.188349,1.188651,1.188349,1.188651,23,1
2026-02-26 03:01:00,1.188651,1.188651,1.188449,1.188449,16,1
2026-02-26 03:02:00,1.18855,1.18855,1.188349,1.188349,12,1
2026-02-26 03:03:00,1.188449,1.188449,1.188349,1.188349,13,1
2026-02-26 03:04:00,1.188349,1.188349,1.188148,1.188248,27,1
2026-02-26 03:05:00,1.188248,1.188349,1.188148,1.188148,81,0
2026-02-26 03:06:00,1.188148,1.188349,1.188148,1.188349,30,0
2026-02-26 03:07:00,1.188248,1.188248,1.188248,1.188248,3,0
2026-02-26 03:08:00,1.188248,1.188248,1.188148,1.188248,12,0
2026-02-26 03:09:00,1.188248,1.188248,1.188248,1.188248,4,0
2026-02-26 03:10:00,1.188148,1.188148,1.188047,1.188047,5,0
2026-02-26 03:11:00,1.188248,1.188248,1.188248,1.188248,2,0
2026-02-26 03:12:00,1.188248,1.188248,1.188248,1.188248,1,0
2026-02-26 03:13:00,1.188248,1.188248,1.188148,1.188148,55,0
2026-02-26 03:14:00,1.188248,1.188248,1.188047,1.188148,10,0
2026-02-27 02:55:00,1.189053,1.189154,1.189053,1.189154,5,0
2026-02-27 02:56:00,1.189154,1.189154,1.189053,1.189154,13,0
2026-02-27 02:57:00,1.189053,1.189053,1.188952,1.189053,33,0
2026-02-27 02:58:00,1.188952,1.188952,1.188852,1.188852,34,0
2026-02-27 02:59:00,1.188852,1.189053,1.188852,1.189053,15,0
2026-02-27 03:00:00,1.188952,1.188952,1.188651,1.188952,254,1
2026-02-27 03:01:00,1.188952,1.189154,1.188952,1.189154,41,1
2026-02-27 03:02:00,1.189154,1.189154,1.189154,1.189154,1,1
2026-02-27 03:03:00,1.188952,1.188952,1.188751,1.188751,3,1
2026-02-27 03:04:00,1.188751,1.188751,1.188751,1.188751,2,1
2026-02-27 03:05:00,1.188751,1.188751,1.188651,1.188651,12,0
2026-02-27 03:06:00,1.188751,1.188751,1.188651,1.188651,21,0
2026-02-27 03:07:00,1.188751,1.188751,1.188651,1.188651,15,0
2026-02-27 03:08:00,1.188651,1.188651,1.188449,1.188449,62,0
2026-02-27 03:09:00,1.18855,1.188651,1.18855,1.188651,14,0
2026-02-27 03:10:00,1.18855,1.18855,1.18855,1.18855,6,0
2026-02-27 03:11:00,1.18855,1.18855,1.188449,1.18855,3,0
2026-02-27 03:12:00,1.188651,1.188751,1.188651,1.188751,2,0
2026-02-27 03:13:00,1.188751,1.188751,1.18855,1.18855,3,0
2026-02-27 03:14:00,1.188449,1.188449,1.188349,1.188349,7,0
2026-03-02 02:55:00,1.1802,1.1802,1.179999,1.180099,46,0
2026-03-02 02:56:00,1.180099,1.1802,1.180099,1.1802,50,0
2026-03-02 02:57:00,1.180099,1.1802,1.180099,1.1802,17,0
2026-03-02 02:58:00,1.1802,1.1802,1.179999,1.180099,58,0
2026-03-02 02:59:00,1.180099,1.1802,1.180099,1.180099,10,0
2026-03-02 03:00:00,1.180099,1.180099,1.179898,1.180099,56,1
2026-03-02 03:01:00,1.1802,1.1802,1.179999,1.1802,33,1
2026-03-02 03:02:00,1.1803,1.180401,1.180099,1.1803,85,1
2026-03-02 03:03:00,1.180401,1.180904,1.180401,1.180803,86,1
2026-03-02 03:04:00,1.180904,1.181105,1.180904,1.181005,70,1
2026-03-02 03:05:00,1.181005,1.181608,1.180904,1.181608,196,0
2026-03-02 03:06:00,1.181608,1.181608,1.181306,1.181608,63,0
2026-03-02 03:07:00,1.181608,1.181608,1.181407,1.181407,73,0
2026-03-02 03:08:00,1.181407,1.181407,1.181407,1.181407,19,0
2026-03-02 03:09:00,1.181407,1.181508,1.181306,1.181306,13,0
2026-03-02 03:10:00,1.181407,1.181608,1.181407,1.181608,43,0
2026-03-02 03:11:00,1.181508,1.181508,1.181306,1.181407,23,0
2026-03-02 03:12:00,1.181407,1.181809,1.181407,1.181809,122,0
2026-03-02 03:13:00,1.181709,1.181809,1.181608,1.181809,46,0
2026-03-02 03:14:00,1.181809,1.181809,1.181809,1.181809,4,0
2026-03-03 02:55:00,1.170139,1.17024,1.170039,1.170039,23,0
2026-03-03 02:56:00,1.170039,1.170039,1.169837,1.169938,17,0
2026-03-03 02:57:00,1.170039,1.170039,1.169938,1.170039,13,0
2026-03-03 02:58:00,1.170139,1.170139,1.169938,1.169938,28,0
2026-03-03 02:59:00,1.169837,1.170139,1.169837,1.170039,17,0
2026-03-03 03:00:00,1.170139,1.17024,1.170039,1.170139,103,1
2026-03-03 03:01:00,1.170139,1.17034,1.170139,1.17024,65,1
2026-03-03 03:02:00,1.17024,1.17024,1.170039,1.170039,25,1
2026-03-03 03:03:00,1.170139,1.170642,1.170139,1.170642,47,1
2026-03-03 03:04:00,1.170642,1.170642,1.17024,1.17024,58,1
2026-03-03 03:05:00,1.170139,1.17024,1.169737,1.169837,66,0
2026-03-03 03:06:00,1.170039,1.170441,1.170039,1.170441,32,0
2026-03-03 03:07:00,1.170441,1.170441,1.170139,1.170139,42,0
2026-03-03 03:08:00,1.170039,1.170139,1.170039,1.170139,21,0
2026-03-03 03:09:00,1.17034,1.170642,1.17034,1.170542,65,0
2026-03-03 03:10:00,1.170441,1.170542,1.170139,1.17034,33,0
2026-03-03 03:11:00,1.170542,1.170542,1.170542,1.170542,29,0
2026-03-03 03:12:00,1.170542,1.170542,1.170139,1.170139,72,0
2026-03-03 03:13:00,1.17024,1.17024,1.170139,1.17024,32,0
