datetime_et,open,high,low,close,volume,is_or
2026-02-25 05:55:00,65.395521,65.415353,65.355857,65.355857,52,0
2026-02-25 05:56:00,65.345941,65.355857,65.326109,65.326109,33,0
2026-02-25 05:57:00,65.326109,65.326109,65.296362,65.316194,30,0
2026-02-25 05:58:00,65.316194,65.316194,65.296362,65.296362,10,0
2026-02-25 05:59:00,65.296362,65.355857,65.296362,65.355857,14,0
2026-02-25 06:00:00,65.355857,65.415353,65.355857,65.405437,55,1
2026-02-25 06:01:00,65.395521,65.415353,65.385605,65.385605,46,1
2026-02-25 06:02:00,65.375689,65.375689,65.355857,65.375689,10,1
2026-02-25 06:03:00,65.375689,65.395521,65.375689,65.375689,8,1
2026-02-25 06:04:00,65.365773,65.415353,65.365773,65.415353,35,1
2026-02-25 06:05:00,65.405437,65.435185,65.375689,65.375689,52,0
2026-02-25 06:06:00,65.405437,65.405437,65.375689,65.375689,14,0
2026-02-25 06:07:00,65.365773,65.375689,65.355857,65.375689,11,0
2026-02-25 06:08:00,65.375689,65.395521,65.355857,65.355857,29,0
2026-02-25 06:09:00,65.345941,65.345941,65.296362,65.306278,62,0
2026-02-25 06:10:00,65.306278,65.306278,65.286446,65.306278,24,0
2026-02-25 06:11:00,65.296362,65.296362,65.266614,65.286446,31,0
2026-02-25 06:12:00,65.286446,65.316194,65.286446,65.306278,14,0
2026-02-25 06:13:00,65.316194,65.326109,65.316194,65.326109,18,0
2026-02-25 06:14:00,65.336025,65.355857,65.306278,65.306278,30,0
2026-02-26 05:55:00,63.858553,63.908132,63.858553,63.868469,51,0
2026-02-26 05:56:00,63.878385,63.878385,63.838721,63.848637,47,0
2026-02-26 05:57:00,63.858553,63.868469,63.848637,63.858553,39,0
2026-02-26 05:58:00,63.838721,63.868469,63.818889,63.868469,35,0
2026-02-26 05:59:00,63.858553,63.858553,63.828805,63.848637,16,0
2026-02-26 06:00:00,63.818889,63.838721,63.789141,63.799057,142,1
2026-02-26 06:01:00,63.789141,63.789141,63.759393,63.769309,38,1
2026-02-26 06:02:00,63.779225,63.808973,63.779225,63.799057,27,1
2026-02-26 06:03:00,63.789141,63.808973,63.779225,63.808973,18,1
2026-02-26 06:04:00,63.828805,63.878385,63.818889,63.858553,72,1
2026-02-26 06:05:00,63.868469,63.878385,63.828805,63.858553,50,0
2026-02-26 06:06:00,63.878385,63.927964,63.878385,63.898216,57,0
2026-02-26 06:07:00,63.8883,63.947796,63.8883,63.93788,73,0
2026-02-26 06:08:00,63.93788,63.957712,63.918048,63.947796,73,0
2026-02-26 06:09:00,63.93788,63.957712,63.927964,63.947796,33,0
2026-02-26 06:10:00,63.957712,63.957712,63.898216,63.898216,49,0
2026-02-26 06:11:00,63.918048,64.106451,63.918048,63.93788,267,0
2026-02-26 06:12:00,63.947796,63.947796,63.908132,63.908132,35,0
2026-02-26 06:13:00,63.918048,63.918048,63.868469,63.868469,41,0
2026-02-26 06:14:00,63.858553,63.878385,63.848637,63.868469,34,0
2026-02-27 05:55:00,65.990476,66.03014,65.970645,65.990476,61,0
2026-02-27 05:56:00,65.990476,66.040056,65.980561,65.990476,85,0
2026-02-27 05:57:00,65.980561,65.980561,65.940897,65.970645,66,0
2026-02-27 05:58:00,65.970645,66.000392,65.960729,66.000392,38,0
2026-02-27 05:59:00,65.990476,65.990476,65.970645,65.990476,15,0
2026-02-27 06:00:00,65.990476,66.010308,65.980561,66.000392,127,1
2026-02-27 06:01:00,65.990476,66.089636,65.970645,66.059888,141,1
2026-02-27 06:02:00,66.049972,66.069804,66.020224,66.040056,124,1
2026-02-27 06:03:00,66.020224,66.049972,66.010308,66.010308,66,1
2026-02-27 06:04:00,66.020224,66.03014,65.980561,66.020224,84,1
2026-02-27 06:05:00,66.020224,66.020224,65.940897,66.000392,47,0
2026-02-27 06:06:00,65.980561,66.010308,65.970645,65.970645,100,0
2026-02-27 06:07:00,66.000392,66.020224,65.990476,66.020224,21,0
2026-02-27 06:08:00,66.020224,66.069804,66.010308,66.020224,75,0
2026-02-27 06:09:00,66.020224,66.069804,66.020224,66.069804,43,0
2026-02-27 06:10:00,66.059888,66.069804,66.049972,66.069804,46,0
2026-02-27 06:11:00,66.07972,66.089636,66.059888,66.069804,45,0
2026-02-27 06:12:00,66.069804,66.099552,66.000392,66.010308,119,0
2026-02-27 06:13:00,66.000392,66.000392,65.980561,65.980561,93,0
2026-02-27 06:14:00,65.990476,66.020224,65.980561,66.010308,23,0
2026-03-02 05:55:00,71.354991,71.414487,71.305412,71.394655,55,0
2026-03-02 05:56:00,71.404571,71.434319,71.345076,71.384739,70,0
2026-03-02 05:57:00,71.374823,71.394655,71.28558,71.33516,62,0
2026-03-02 05:58:00,71.364907,71.454151,71.345076,71.424403,82,0
2026-03-02 05:59:00,71.414487,71.434319,71.374823,71.384739,59,0
2026-03-02 06:00:00,71.414487,71.563226,71.394655,71.483899,195,1
2026-03-02 06:01:00,71.50373,71.523562,71.434319,71.454151,109,1
2026-03-02 06:02:00,71.434319,71.50373,71.414487,71.434319,52,1
2026-03-02 06:03:00,71.444235,71.50373,71.374823,71.394655,67,1
2026-03-02 06:04:00,71.374823,71.414487,71.364907,71.394655,64,1
2026-03-02 06:05:00,71.414487,71.473983,71.374823,71.374823,20,0
2026-03-02 06:06:00,71.384739,71.394655,71.265748,71.265748,99,0
2026-03-02 06:07:00,71.295496,71.414487,71.295496,71.414487,83,0
2026-03-02 06:08:00,71.424403,71.444235,71.374823,71.434319,72,0
2026-03-02 06:09:00,71.414487,71.414487,71.33516,71.414487,67,0
2026-03-02 06:10:00,71.404571,71.464067,71.404571,71.414487,86,0
2026-03-02 06:11:00,71.404571,71.493814,71.364907,71.374823,64,0
2026-03-02 06:12:00,71.384739,71.394655,71.325244,71.384739,101,0
2026-03-02 06:13:00,71.394655,71.533478,71.384739,71.50373,111,0
2026-03-02 06:14:00,71.493814,71.612806,71.493814,71.573142,190,0
2026-03-03 05:55:00,75.995644,76.22371,75.936149,76.203878,748,0
2026-03-03 05:56:00,76.213794,76.352617,76.174131,76.312954,724,0
2026-03-03 05:57:00,76.312954,76.402197,76.233626,76.332786,670,0
2026-03-03 05:58:00,76.342701,76.422029,76.124551,76.193963,569,0
2026-03-03 05:59:00,76.193963,76.650095,75.73783,75.817157,1751,0
2026-03-03 06:00:00,75.836989,76.154299,75.678335,76.134467,917,1
2026-03-03 06:01:00,76.124551,76.164215,75.995644,76.025392,317,1
2026-03-03 06:02:00,76.035308,76.074971,75.777494,75.866737,522,1
2026-03-03 06:03:00,75.856821,75.856821,75.539512,75.589091,706,1
2026-03-03 06:04:00,75.608923,75.727914,75.539512,75.589091,502,1
2026-03-03 06:05:00,75.579175,75.757662,75.539512,75.708082,347,0
2026-03-03 06:06:00,75.727914,76.015476,75.678335,76.00556,487,0
2026-03-03 06:07:00,76.00556,76.124551,75.936149,75.995644,550,0
2026-03-03 06:08:00,76.00556,76.05514,75.916317,76.045224,198,0
2026-03-03 06:09:00,76.035308,76.094803,75.975812,75.995644,234,0
2026-03-03 06:10:00,76.00556,76.293122,76.00556,76.27329,604,0
2026-03-03 06:11:00,76.27329,76.283206,76.134467,76.213794,525,0
2026-03-03 06:12:00,76.213794,76.332786,76.134467,76.293122,332,0
2026-03-03 06:13:00,76.293122,76.32287,76.065056,76.124551,337,0
2026-03-03 06:14:00,76.134467,76.243542,76.094803,76.193963,297,0
2026-03-04 05:55:00,74.706574,74.756154,74.607415,74.637162,163,0
2026-03-04 05:56:00,74.627247,74.756154,74.617331,74.726406,287,0
2026-03-04 05:57:00,74.726406,74.785901,74.696658,74.756154,125,0
2026-03-04 05:58:00,74.736322,74.746238,74.647078,74.647078,107,0
2026-03-04 05:59:00,74.656994,74.756154,74.587583,74.597499,131,0
2026-03-04 06:00:00,74.597499,74.597499,74.438844,74.49834,250,1
2026-03-04 06:01:00,74.488424,74.557835,74.339685,74.419012,154,1
