datetime_et,open,high,low,close,volume,is_or
2026-02-25 09:25:00,25377.500184,25382.544962,25373.212124,25374.725557,1506,0
2026-02-25 09:26:00,25374.473318,25376.23899,25369.428541,25375.230035,1446,0
2026-02-25 09:27:00,25375.230035,25377.500184,25371.446452,25376.743468,1132,0
2026-02-25 09:28:00,25376.491229,25386.833023,25376.23899,25382.040484,2527,0
2026-02-25 09:29:00,25382.040484,25390.112128,25374.221079,25385.571828,2537,0
2026-02-25 09:30:00,25385.571828,25445.604679,25382.040484,25437.280796,16095,1
2026-02-25 09:31:00,25438.037513,25458.216622,25437.028557,25449.892739,11883,1
2026-02-25 09:32:00,25449.6405,25456.955428,25436.019602,25437.028557,8019,1
2026-02-25 09:33:00,25436.776318,25457.964383,25434.758407,25456.45095,6590,1
2026-02-25 09:34:00,25456.955428,25470.828565,25442.830051,25447.874828,9604,1
2026-02-25 09:35:00,25448.127067,25468.306177,25443.08229,25454.1808,8671,0
2026-02-25 09:36:00,25453.676322,25477.891254,25445.856917,25471.080804,7629,0
2026-02-25 09:37:00,25471.333043,25474.864387,25458.468861,25458.468861,7102,0
2026-02-25 09:38:00,25458.7211,25462.000205,25447.370351,25453.928561,5806,0
2026-02-25 09:39:00,25454.685278,25481.170359,25451.153934,25471.837521,6637,0
2026-02-25 09:40:00,25471.837521,25491.259914,25459.225577,25482.936031,9506,0
2026-02-25 09:41:00,25483.440509,25492.773347,25473.855432,25481.674837,6241,0
2026-02-25 09:42:00,25481.170359,25490.755436,25471.333043,25475.116626,4983,0
2026-02-25 09:43:00,25475.116626,25505.133051,25470.071849,25499.583796,8735,0
2026-02-25 09:44:00,25499.836035,25506.142007,25491.764391,25497.818124,5322,0
2026-02-26 09:25:00,25597.452477,25598.209193,25587.110683,25591.398744,1268,0
2026-02-26 09:26:00,25590.389788,25593.416655,25586.606205,25588.119639,718,0
2026-02-26 09:27:00,25587.615161,25587.615161,25572.22859,25574.750979,2738,0
2026-02-26 09:28:00,25575.003217,25585.092772,25569.201723,25583.074861,2586,0
2026-02-26 09:29:00,25582.318145,25583.074861,25566.931574,25568.949485,1755,0
2026-02-26 09:30:00,25568.192768,25568.949485,25511.691262,25520.267383,17640,1
2026-02-26 09:31:00,25519.510667,25562.643513,25506.646484,25549.779331,13477,1
2026-02-26 09:32:00,25550.03157,25555.580825,25506.646484,25508.916634,9675,1
2026-02-26 09:33:00,25510.682306,25517.240517,25497.313646,25504.628573,10283,1
2026-02-26 09:34:00,25503.367379,25513.456934,25481.927075,25498.574841,12801,1
2026-02-26 09:35:00,25498.574841,25517.744995,25484.197225,25491.259914,11610,0
2026-02-26 09:36:00,25491.512152,25497.818124,25450.649456,25459.982294,14507,0
2026-02-26 09:37:00,25460.486772,25484.449464,25457.712144,25476.882298,11105,0
2026-02-26 09:38:00,25476.37782,25502.358424,25468.810654,25486.215136,12259,0
2026-02-26 09:39:00,25486.971853,25522.033055,25485.45842,25502.358424,13123,0
2026-02-26 09:40:00,25502.610663,25506.142007,25472.594237,25478.143492,11495,0
2026-02-26 09:41:00,25477.639015,25509.168873,25470.071849,25498.574841,10016,0
2026-02-26 09:42:00,25498.82708,25520.519622,25483.944986,25490.503197,11172,0
2026-02-26 09:43:00,25490.755436,25497.061407,25457.207666,25473.350954,11999,0
2026-02-26 09:44:00,25473.350954,25499.836035,25465.783788,25491.764391,8917,0
2026-02-27 09:25:00,25046.058313,25057.661301,25042.27473,25053.121001,2041,0
2026-02-27 09:26:00,25053.121001,25053.121001,25040.00458,25047.823985,1656,0
2026-02-27 09:27:00,25048.328463,25051.10309,25023.356815,25027.644876,2997,0
2026-02-27 09:28:00,25027.392637,25038.238908,25018.059799,25029.410548,4699,0
2026-02-27 09:29:00,25028.653831,25042.022491,25022.347859,25037.986669,3343,0
2026-02-27 09:30:00,25038.238908,25090.704592,25029.915026,25050.346374,13393,1
