Id,AccountName,ContractName,Status,Type,Size,Side,CreatedAt,TradeDay,FilledAt,CancelledAt,StopPrice,LimitPrice,ExecutePrice,PositionDisposition,CreationDisposition,RejectionReason,ExchangeOrderId,PlatformOrderId
2824203047,PRAC-V2-551001-43861321,MESM6,Rejected,Limit,11,Ask,04/15/2026 14:35:02 +01:00,04/15/2026 00:00:00 -05:00,,,,7025.675000000,,Undetermined,Trader,Invalid limit price. Price is not aligned to tick size.,,
2824202814,PRAC-V2-551001-43861321,MESM6,Filled,Market,11,Bid,04/15/2026 14:35:02 +01:00,04/15/2026 00:00:00 -05:00,04/15/2026 14:35:02 +01:00,,,,7019.750000000,Opening,Trader,,,
2824202925,PRAC-V2-551001-43861321,MESM6,Rejected,Stop,11,Ask,04/15/2026 14:35:02 +01:00,04/15/2026 00:00:00 -05:00,,,7017.537500000,,,Undetermined,Trader,Invalid stop price. Price is not aligned to tick size.,,
2824203144,PRAC-V2-551001-43861321,ESM6,Filled,Market,1,Bid,04/15/2026 14:35:02 +01:00,04/15/2026 00:00:00 -05:00,04/15/2026 14:35:02 +01:00,,,,7019.750000000,Opening,Trader,,,
2824203218,PRAC-V2-551001-43861321,ESM6,Rejected,Stop,1,Ask,04/15/2026 14:35:02 +01:00,04/15/2026 00:00:00 -05:00,,,7017.537500000,,,Undetermined,Trader,Invalid stop price. Price is not aligned to tick size.,,
2824203291,PRAC-V2-551001-43861321,ESM6,Rejected,Limit,1,Ask,04/15/2026 14:35:02 +01:00,04/15/2026 00:00:00 -05:00,,,,7025.675000000,,Undetermined,Trader,Invalid limit price. Price is not aligned to tick size.,,
2824309333,PRAC-V2-551001-43861321,MNQM6,Filled,Market,5,Bid,04/15/2026 14:38:46 +01:00,04/15/2026 00:00:00 -05:00,04/15/2026 14:38:46 +01:00,,,,26044.250000000,Opening,Trader,,,
2824309535,PRAC-V2-551001-43861321,MNQM6,Rejected,Stop,5,Ask,04/15/2026 14:38:47 +01:00,04/15/2026 00:00:00 -05:00,,,26025.175000000,,,Undetermined,Trader,Invalid stop price. Price is not aligned to tick size.,,
2824310023,PRAC-V2-551001-43861321,MNQM6,Rejected,Limit,5,Ask,04/15/2026 14:38:47 +01:00,04/15/2026 00:00:00 -05:00,,,,26071.900000000,,Undetermined,Trader,Invalid limit price. Price is not aligned to tick size.,,
2824701344,PRAC-V2-551001-43861321,ESM6,Filled,Market,1,Ask,04/15/2026 14:50:12 +01:00,04/15/2026 00:00:00 -05:00,04/15/2026 14:50:12 +01:00,,,,7011.000000000,Closing,ClosePosition,,,
2824703030,PRAC-V2-551001-43861321,MESM6,Filled,Market,11,Ask,04/15/2026 14:50:17 +01:00,04/15/2026 00:00:00 -05:00,04/15/2026 14:50:17 +01:00,,,,7010.750000000,Closing,ClosePosition,,,
2824834303,PRAC-V2-551001-43861321,MNQM6,Filled,Market,5,Ask,04/15/2026 14:54:38 +01:00,04/15/2026 00:00:00 -05:00,04/15/2026 14:54:38 +01:00,,,,26048.000000000,Closing,ClosePosition,,,
2819550807,PRAC-V2-551001-43861321,MESM6,Cancelled,Limit,1,Bid,04/14/2026 17:39:56 +01:00,04/14/2026 00:00:00 -05:00,,04/14/2026 17:39:56 +01:00,,1.000000000,,Undetermined,Trader,Cancelled by trader,,
2819618246,PRAC-V2-551001-43861321,MESM6,Filled,Market,1,Bid,04/14/2026 17:50:07 +01:00,04/14/2026 00:00:00 -05:00,04/14/2026 17:50:07 +01:00,,,,6997.750000000,Opening,Trader,,,
2819620719,PRAC-V2-551001-43861321,MESM6,Filled,Market,1,Ask,04/14/2026 17:50:22 +01:00,04/14/2026 00:00:00 -05:00,04/14/2026 17:50:22 +01:00,,,,6997.500000000,Closing,Trader,,,
